HITID,tokens,type,source,Worker1,Answer1,Worker2,Answer2,Agreement,Answer,Date
38F60IALAFGD16MT1CRKEUCELIG0T2,15,notify,MIMIC2MD,A16S0KKQ2MIZHT,Does not,AEVU71Z2FDTUX,Does not,Yes,Does not,2016-12-16 23:09:30 UTC
3Q7TKIAPOS9JHDFI4FDO7AMGLU3DL5,2,adopted,MIMIC2MD,A16S0KKQ2MIZHT,Does not,A1T79J0XQXDDGC,Does not,Yes,Does not,2016-12-16 23:10:12 UTC
3SNR5F7R91SMJILCF7RVLCC942AIEP,850,afso,MIMIC2MD,A149ROBL26JWPJ,Does not,A18TCR555RWUZV,Does not,Yes,Does not,2016-12-16 23:09:42 UTC
3GVPRXWRPGT1A362SZDPF2KSIF6I73,2,nonproductive,MIMIC2MD,A149ROBL26JWPJ,Begins with a negative,A1T79J0XQXDDGC,Begins with a negative,Yes,Begins with a negative,2016-12-16 23:10:39 UTC
3JMQI2OLFY495DI3GST3K2Q5QP3DN7,157,improving,MIMIC2MD,A16S0KKQ2MIZHT,Does not,A18TCR555RWUZV,Does not,Yes,Does not,2016-12-16 23:09:28 UTC
3INZSNUD8ZPOGBE9FIAY21VLL0MD98,3,awakens,MIMIC2MD,A16S0KKQ2MIZHT,Does not,ARX0S1CIDJLOX,Does not,Yes,Does not,2016-12-16 23:13:34 UTC
33CLA8O0MHARIVOR055AHMY03Z8FR8,2,aguet,CRAFT,A16S0KKQ2MIZHT,Begins with a negative,A18TCR555RWUZV,Does not,No,no_agreement,2016-12-16 23:10:34 UTC
3PA41K45VM3TRPT65U39OZL44T17P4,724,an,MIMIC2MD,A149ROBL26JWPJ,Does not,AEVU71Z2FDTUX,{},No,no_agreement,2016-12-16 23:10:03 UTC
39HYCOOPKNK3NVX34RE37N15LZTDM7,112,altered,CRAFT,A149ROBL26JWPJ,Does not,A1T79J0XQXDDGC,Does not,Yes,Does not,2016-12-16 23:09:57 UTC
3UEDKCTP9UPSGYWQS2Y1SIZ5AJV7K3,121,aj,CRAFT,A3HAPMZV7CYDY8,Does not,ALLP45O3BDWYM,Does not,Yes,Does not,2016-12-16 23:09:48 UTC
3WRAAIUSBIYGJ0TVYOPAS39X70GAXM,7,nonteder,MIMIC2MD,AI885RNRGVIFM,Does not,ARX0S1CIDJLOX,Does not,Yes,Does not,2016-12-16 23:39:06 UTC
