HITID,word,polarity,Worker1,Answer1,Worker2,Answer2,Agreement,Answer,Date
3OEWW2KGQIARNYIFH7TGZRQA9SSODW,development,p,A2WGW5Y3ZFBDEC,Does not contain one,ADLYO655RWJUI,Does not contain one,Yes,Does not contain one,2016-05-11 23:10:48 UTC
39WSF6KUV1KWF4WFD240598V94TOEP,intestinal,p,A177EXELDLWTWV,Does not contain one,A2WGW5Y3ZFBDEC,Does not contain one,Yes,Does not contain one,2016-05-11 23:11:04 UTC
356ZPKYPUGGC69P7S3T91C511LVPYN,Missouri,p,A177EXELDLWTWV,Does not contain one,ARX0S1CIDJLOX,Does not contain one,Yes,Does not contain one,2016-05-11 23:05:23 UTC
3SX4X51T8Z8TPRF3XX2E9QI4OPVOAU,discontinuous,n,A177EXELDLWTWV,Contains negative element,A1NM7ZPZ3NH412,Contains negative element,Yes,Contains negative element,2016-05-11 23:04:49 UTC
33Q5P9PUSOLTHAQ8JK9MVJFW8WJZC9,insane,n,A177EXELDLWTWV,Contains negative element,A1MHGD46DB5Z7H,Contains negative element,Yes,Contains negative element,2016-05-11 23:15:43 UTC
3JMQI2OLFY495DI3GST3K2Q5JIONDH,illustrated,p,A1NM7ZPZ3NH412,Does not contain one,A2MCG5W6LHSRG9,Does not contain one,Yes,Does not contain one,2016-05-11 23:05:20 UTC
3KI0JD2ZU0HLHJB1QY40IZUN2HW76Y,Unremarkable,n,A177EXELDLWTWV,Contains negative element,A2MCG5W6LHSRG9,Contains negative element,Yes,Contains negative element,2016-05-11 23:15:33 UTC
3E6L1VR4XVLYWCQ78H2C6R7405FF6A,functioning,p,A2MCG5W6LHSRG9,Does not contain one,ARX0S1CIDJLOX,Does not contain one,Yes,Does not contain one,2016-05-11 23:06:34 UTC
32FESTC2NGPCVBWYDXAEER0H6E5CUY,international,p,A177EXELDLWTWV,Does not contain one,A2WGW5Y3ZFBDEC,Does not contain one,Yes,Does not contain one,2016-05-11 23:10:53 UTC
3YCT0L9OML8F721LDIOSF1C5KLYSNG,uncoordinated,n,A13VIJ7G997ZCY,Contains negative element,A2QLSHXNCHBRN4,Contains negative element,Yes,Contains negative element,2016-05-11 23:05:27 UTC
3TFJJUELSGO3BZNWUD08885PNNL2C5,iris,p,A177EXELDLWTWV,Does not contain one,A2MCG5W6LHSRG9,Does not contain one,Yes,Does not contain one,2016-05-11 23:06:25 UTC
3O71U79SRAO9PKGL1H9S2MN5FVOSMG,detoxify,n,A2MCG5W6LHSRG9,Contains negative element,A177EXELDLWTWV,Does not contain one,No,no_agreement,2016-05-11 23:15:35 UTC
31D0ZWOD09Y8MANKVC03JPMMQMGA0R,desaturation,n,A2QLSHXNCHBRN4,Contains negative element,A1MHGD46DB5Z7H,Does not contain one,No,no_agreement,2016-05-11 23:05:40 UTC
3IV1AEQ4DQC15SVRKMQV53VNZ7LJ82,irregular,n,A177EXELDLWTWV,Contains negative element,A2QLSHXNCHBRN4,Contains negative element,Yes,Contains negative element,2016-05-11 23:05:34 UTC
3SBNLSTU6T43M2WMJG4XFPXETWVZD9,mislocalization,n,A10GZ0SWBZIRBK,Contains negative element,A13VIJ7G997ZCY,Contains negative element,Yes,Contains negative element,2016-05-11 23:05:12 UTC
3LN3BXKGCZU24R18AJLYM66TPM7WGQ,nontransgenic,n,A2QLSHXNCHBRN4,Contains negative element,A3RR85PK3AV9TU,Contains negative element,Yes,Contains negative element,2016-05-11 23:06:21 UTC
